Wellbore name,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,delta_P,BB_pred
15/9-F-1 C,64.0,10455.0,931.0,995.0,0.935678391959799,163.359375,26.89,61.414,107.799,51.16093,24.0,248.43100000000004,282.9409981485637
15/9-F-1 C,223.0,32484.0,1131.0,1354.0,0.8353028064992615,145.66816143497758,41.188,70.304,108.14,51.83248,24.0,211.758,280.0711173292259
15/9-F-1 C,82.0,13263.0,858.0,940.0,0.9127659574468086,161.7439024390244,28.614,70.084,107.895,51.05473,24.0,241.731,281.17901582990515
15/9-F-1 C,226.0,32819.0,1066.0,1292.0,0.8250773993808049,145.21681415929203,43.275,72.432,108.176,51.95842,24.0,203.144,278.8329478326233
15/9-F-1 C,109.0,17787.0,919.0,1028.0,0.8939688715953308,163.1834862385321,30.879,71.747,107.976,51.04213,24.0,234.772,280.71043440105996
15/9-F-1 C,385.0,58379.0,759.0,1144.0,0.6634615384615384,151.63376623376624,43.289,59.768,108.157,53.5453,24.0,198.658,269.6704610829147
15/9-F-1 C,189.0,30603.0,985.0,1174.0,0.8390119250425895,161.9206349206349,32.165,73.865,108.056,51.69107,24.0,228.736,278.742449585057
15/9-F-1 C,343.0,53457.0,698.0,1041.0,0.6705091258405379,155.85131195335276,41.852,65.737,108.14,53.51642,24.0,196.346,268.9584463453702
15/9-F-1 C,244.0,39160.0,976.0,1220.0,0.8,160.49180327868854,33.587,74.748,108.126,52.67783,24.0,221.919,276.9265880895489
15/9-F-1 C,356.0,54801.0,798.0,1154.0,0.6915077989601387,153.93539325842696,40.568,68.67,108.118,53.53941,24.0,194.721,270.7195161138376
15/9-F-1 C,247.0,40029.0,983.0,1230.0,0.7991869918699187,162.06072874493927,34.382,68.641,108.149,52.94943,24.0,216.011,277.20347580549947
15/9-F-1 C,448.0,67646.0,898.0,1346.0,0.6671619613670133,150.99553571428572,39.71,69.842,108.131,54.71945,24.0,192.601,270.9213167012766
15/9-F-1 C,248.0,40440.0,936.0,1184.0,0.7905405405405406,163.06451612903226,34.18,72.985,108.138,52.93515,24.0,211.993,276.1868374199914
15/9-F-1 C,609.0,89539.0,873.0,1482.0,0.5890688259109311,147.0262725779967,39.897,75.168,108.245,60.03832,24.0,184.038,265.4901152995187
15/9-F-1 C,265.0,43614.0,913.0,1178.0,0.7750424448217318,164.5811320754717,33.238,68.793,108.15,53.88786,24.0,208.721,275.52452434602566
15/9-F-1 C,619.0,89062.0,855.0,1474.0,0.5800542740841248,143.88045234248787,37.728,71.974,108.192,59.87418,24.0,182.847,265.449326666881
15/9-F-1 C,264.0,43938.782608695656,909.9130434782608,1173.913043478261,0.7751111111111111,166.43478260869566,31.862,67.324,108.139,54.10047,23.0,206.27,275.59761403759103
15/9-F-1 C,565.0,75663.0,782.0,1347.0,0.5805493689680772,133.91681415929204,36.464,68.136,108.185,59.89556,24.0,181.027,266.5994032222739
15/9-F-1 C,272.0,44973.0,882.0,1154.0,0.7642980935875217,165.34191176470588,30.498,73.935,108.125,54.32924,24.0,204.563,274.58432132841085
15/9-F-1 C,551.0,79170.0,757.0,1308.0,0.5787461773700305,143.68421052631578,35.034,72.433,108.176,57.2328,24.0,179.833,265.8646929048835
15/9-F-1 C,276.0,45176.0,894.0,1170.0,0.764102564102564,163.68115942028984,29.48,76.353,108.13,54.76382,24.0,202.044,274.60054491854794
15/9-F-1 C,624.0,90173.0,779.0,1403.0,0.5552387740555952,144.50801282051282,34.28,72.811,108.204,63.47054,24.0,177.885,264.3626656602799
15/9-F-1 C,293.0,48067.0,833.0,1126.0,0.7397868561278863,164.05119453924914,28.396,74.63,108.106,54.74367,24.0,200.457,273.084805963456
15/9-F-1 C,623.0,88514.0,759.0,1382.0,0.5492040520984081,142.07704654895667,32.974,73.494,108.215,65.01727,24.0,175.393,264.3281478331736
15/9-F-1 C,287.0,46865.0,821.0,1108.0,0.7409747292418772,163.29268292682926,27.59,74.726,108.091,54.69002,24.0,198.965,273.0324487618276
15/9-F-1 C,215.4798761609908,31289.164086687302,267.4922600619195,482.9721362229103,0.5538461538461539,145.20689655172413,28.456,34.814,107.041,17.94654,6.46,182.844,260.58119885310043
15/9-F-1 C,299.0,48700.0,794.0,1093.0,0.7264409881061299,162.87625418060202,27.057,67.334,108.074,54.77048,24.0,197.511,272.59869038193034
15/9-F-1 C,285.0,46880.0,766.0,1051.0,0.7288296860133207,164.49122807017545,26.383,69.559,108.058,54.68774,24.0,196.629,272.3171830573082
15/9-F-1 C,120.14652014652016,17425.641025641027,719.4139194139194,839.5604395604396,0.856893542757417,145.03658536585365,36.611,31.721,106.038,31.69057,16.38,238.976,277.37345620669015
15/9-F-1 C,173.0,25444.0,1263.0,1436.0,0.8795264623955432,147.07514450867052,32.877,74.117,108.015,52.61599,24.0,229.997,283.35990803737434
15/9-F-1 C,631.0,90439.0,0.0,631.0,0.0,143.32646592709983,107.362,37.939,106.353,43.34345,24.0,182.059,220.6451831452841
15/9-F-1 C,1166.0,165720.0,0.0,1166.0,0.0,142.12692967409947,99.187,60.757,107.644,47.16752,24.0,171.053,222.1840531658282
15/9-F-1 C,320.0,46340.0,879.0,1199.0,0.7331109257714762,144.8125,39.365,72.492,108.145,52.65872,24.0,209.488,273.1089440066488
15/9-F-1 C,1550.0,221707.0,0.0,1550.0,0.0,143.03677419354838,94.601,63.047,107.869,47.73231,24.0,168.24200000000002,220.59426658367724
15/9-F-1 C,319.0,46150.0,877.0,1196.0,0.7332775919732442,144.67084639498432,39.746,66.226,108.107,52.65302,24.0,206.765,273.4303801967059
15/9-F-1 C,1249.0,178064.0,0.0,1249.0,0.0,142.5652522017614,89.988,64.547,107.971,48.53377,24.0,165.539,221.6275661192907
15/9-F-1 C,341.0,49280.0,823.0,1164.0,0.7070446735395189,144.51612903225808,39.352,67.093,108.111,52.70381,24.0,204.348,271.7599066854357
15/9-F-1 C,1346.0,192602.0,0.0,1346.0,0.0,143.09212481426448,84.777,65.724,108.052,49.8445,24.0,162.42200000000005,221.0644612741188
15/9-F-1 C,340.0,49138.0,771.0,1111.0,0.693969396939694,144.5235294117647,38.729,67.047,108.102,52.70324,24.0,202.55900000000003,270.7033334323065
15/9-F-1 C,1350.0,194496.0,0.0,1350.0,0.0,144.07111111111112,80.837,66.934,108.054,50.29698,24.0,159.899,221.15841837983635
15/9-F-1 C,397.0,57219.0,899.0,1296.0,0.6936728395061729,144.12846347607052,38.681,70.359,108.197,55.26661,24.0,198.19,271.9195749869122
15/9-F-1 C,1346.0,192900.0,0.0,1346.0,0.0,143.31352154531947,77.338,67.848,108.042,50.73588,24.0,157.683,221.50434066484937
15/9-F-1 C,444.0,63898.0,911.0,1355.0,0.6723247232472325,143.9144144144144,37.995,71.304,108.227,56.90749,24.0,194.033,271.23936172896833
15/9-F-1 C,1279.0,184900.0,0.0,1279.0,0.0,144.5660672400313,75.949,65.707,107.988,50.11392,24.0,156.79500000000002,222.5156450189233
15/9-F-1 C,575.0,82467.0,814.0,1389.0,0.5860331173506119,143.4208695652174,37.198,76.527,108.289,59.77122,24.0,187.745,266.49258987610676
15/9-F-1 C,280.0,45843.0,748.0,1028.0,0.7276264591439688,163.725,25.681,72.502,108.044,54.72411,24.0,196.132,271.9475430190974
15/9-F-1 C,1226.0,177108.0,0.0,1226.0,0.0,144.46003262642742,76.118,62.796,107.893,48.92679,24.0,157.18,223.62984124038294
15/9-F-1 C,608.0,87181.0,921.0,1529.0,0.6023544800523217,143.38980263157896,35.643,77.135,108.284,62.13158,24.0,183.724,266.34225442461786
15/9-F-1 C,282.0,45801.0,797.0,1079.0,0.7386468952734013,162.41489361702128,25.115,71.75,108.042,55.06795,24.0,195.665,272.9318400641415
15/9-F-1 C,317.0,51991.0,793.0,1110.0,0.7144144144144144,164.00946372239747,25.341,72.218,108.078,55.99813,24.0,193.411,271.85416562752886
15/9-F-1 C,239.76945244956767,40343.51585014409,624.7838616714697,864.5533141210374,0.7226666666666667,168.25961538461536,25.608,66.568,107.857,45.14344,20.82,192.83,267.901082293276
15/9-F-1 C,1213.0,174609.0,0.0,1213.0,0.0,143.94806265457544,74.69,62.377,107.877,48.93863,24.0,156.399,224.09475328030493
