Wellbore name,Date of Production,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,log_q_liq,log_q_oil,log_q_gas,GLR,dT,delta_P
15/9-F-1 C,2014-06-20,711.0,104861.0,51.0,762.0,0.06692913385826772,147.48382559774964,59.091,58.446,108.073,47.58517,24.0,6.637258031284457,6.568077911411976,11.560400478994415,137.61286089238845,49.626999999999995,156.488
15/9-F-1 C,2014-06-21,708.0,104156.0,50.0,758.0,0.06596306068601583,147.1129943502825,58.705,58.703,108.079,47.6112,24.0,6.63200177739563,6.5638555265321274,11.553654655184298,137.4089709762533,49.37599999999999,156.599
15/9-F-1 C,2014-06-22,703.0,102418.0,52.0,755.0,0.06887417218543046,145.68705547652917,58.236,58.418,108.085,47.61982,24.0,6.628041376179533,6.556778356158042,11.536827521250853,135.65298013245032,49.666999999999994,156.71300000000002
15/9-F-1 C,2014-06-23,696.0,102285.0,52.0,748.0,0.06951871657754011,146.96120689655172,57.464,57.883,108.087,47.65973,24.0,6.618738983517219,6.546785410760524,11.535528090179657,136.74465240641712,50.204,157.394
15/9-F-1 C,2014-06-24,658.0,96652.0,95.0,753.0,0.12616201859229748,146.88753799392097,56.908,57.35,108.08,47.62792,24.0,6.625392368007956,6.490723534502507,11.478882523989206,128.35590969455512,50.73,157.98899999999998
15/9-F-1 C,2014-06-25,576.0,85082.0,79.0,655.0,0.12061068702290076,147.71180555555554,56.875,58.007,108.084,46.56755,24.0,6.486160788944089,6.3578422665081,11.35138252962341,129.89618320610688,50.077000000000005,157.947
15/9-F-1 C,2014-06-26,535.5850422195417,80221.95416164053,73.82388419782872,609.4089264173705,0.12114014251781471,149.78378378378375,60.978,49.152,107.447,44.0,16.58,6.414129103744988,6.285225062499655,11.292564964395687,131.63895486935863,58.295,158.581
15/9-F-1 C,2014-06-27,420.9819555182543,63664.96013428452,59.42089802769618,480.4028535459505,0.12368972746331236,151.22966507177034,54.462,50.511,107.635,44.3751,23.83,6.176704452929971,6.044962553686385,11.061405320931822,132.52410901467505,57.124,162.79000000000002
15/9-F-1 C,2014-06-28,589.0,88193.0,92.0,681.0,0.13509544787077826,149.73344651952462,54.327,55.688,108.078,47.05341,24.0,6.525029657843462,6.380122536899765,11.387294212470042,129.5051395007342,52.39,160.766
15/9-F-1 C,2014-06-29,572.0,85616.0,82.0,654.0,0.12538226299694188,149.67832167832168,55.062,55.97,108.099,46.83166,24.0,6.484635235635252,6.35088571671474,11.357639140542677,130.9113149847095,52.129000000000005,160.197
15/9-F-1 C,2014-06-30,513.0,76979.0,71.0,584.0,0.12157534246575342,150.05653021442495,55.139,56.006,108.108,45.82783,24.0,6.371611847231857,6.2422232654551655,11.251300926837738,131.81335616438355,52.102000000000004,160.212
15/9-F-1 C,2014-07-01,563.0,84308.0,79.0,642.0,0.12305295950155763,149.74777975133216,54.967,56.254,108.114,46.78696,24.0,6.466144724237619,6.335054251498059,11.342243899857174,131.3208722741433,51.86000000000001,160.418
15/9-F-1 C,2014-07-02,564.0,84365.0,79.0,643.0,0.12286158631415241,149.58333333333334,54.808,51.652,108.119,46.79973,24.0,6.467698726104354,6.336825731146441,11.34291975581887,131.20528771384136,56.467,160.59900000000002
15/9-F-1 C,2014-07-03,565.0,84351.0,79.0,644.0,0.12267080745341614,149.29380530973452,54.551,50.821,108.124,46.80369,24.0,6.4692503167957724,6.338594078203183,11.342753798422125,130.97981366459626,57.303,160.781
15/9-F-1 C,2014-07-04,564.0,84183.0,80.0,644.0,0.12422360248447205,149.26063829787233,54.111,51.418,108.129,46.84702,24.0,6.4692503167957724,6.336825731146441,11.340760158420649,130.7189440993789,56.711000000000006,161.10000000000002
15/9-F-1 C,2014-07-05,563.0,83870.0,80.0,643.0,0.12441679626749612,148.96980461811722,53.635,54.232,108.132,46.85599,24.0,6.467698726104354,6.335054251498059,11.337035183121875,130.43545878693624,53.900000000000006,161.484
15/9-F-1 C,2014-07-06,563.0,83854.0,80.0,643.0,0.12441679626749612,148.94138543516874,53.094,56.636,108.134,46.86472,24.0,6.467698726104354,6.335054251498059,11.336844395765729,130.41057542768274,51.498,161.973
15/9-F-1 C,2014-07-08,523.0,77885.0,247.0,770.0,0.3207792207792208,148.91969407265773,52.024,57.485,108.139,46.80372,24.0,6.647688373563329,6.261491684321042,11.26300149812105,101.14935064935065,50.653999999999996,163.023
15/9-F-1 C,2014-07-09,522.0,77859.0,247.0,769.0,0.3211963589076723,149.1551724137931,51.247,56.123,108.14,46.80708,24.0,6.646390514847729,6.259581464064923,11.262667621164447,101.24707412223667,52.017,163.889
15/9-F-1 C,2014-07-10,490.0,73241.0,213.0,703.0,0.3029871977240398,149.47142857142856,50.932,57.489,108.143,46.79164,24.0,6.556778356158042,6.19644412779452,11.201524305897856,104.18349928876245,50.654,164.233
15/9-F-1 C,2014-07-11,492.0,72895.0,253.0,745.0,0.3395973154362416,148.16056910569105,50.492,56.119,108.144,46.78773,24.0,6.61472560020376,6.20050917404269,11.196789046806854,97.84563758389261,52.025000000000006,164.696
15/9-F-1 C,2014-07-12,488.0,72637.0,204.0,692.0,0.2947976878612717,148.84631147540983,49.536,56.633,108.142,46.85941,24.0,6.541029999189903,6.192362489474872,11.193243479856486,104.96676300578035,51.50899999999999,165.928
15/9-F-1 C,2014-07-13,482.0,71515.0,200.0,682.0,0.2932551319648094,148.3713692946058,49.016,57.204,108.134,46.80047,24.0,6.52649485957079,6.180016653652572,11.17767647987171,104.86070381231671,50.93,166.743
15/9-F-1 C,2014-07-14,492.0,73096.0,215.0,707.0,0.3041018387553041,148.5691056910569,48.565,56.775,108.121,47.00266,24.0,6.56244409369372,6.20050917404269,11.199542605224037,103.3889674681754,51.346,167.412
15/9-F-1 C,2014-07-15,476.0,70443.0,247.0,723.0,0.34163208852005533,147.98949579831933,48.862,56.395,108.145,47.88536,24.0,6.584791392385716,6.1675164908883415,11.162573346914975,97.43153526970954,51.74999999999999,166.189
15/9-F-1 C,2014-07-16,466.0,69327.0,244.0,710.0,0.3436619718309859,148.77038626609442,48.486,56.418,108.15,47.76055,24.0,6.566672429803241,6.1463292576688975,11.14660414397969,97.64366197183098,51.732000000000006,166.341
15/9-F-1 C,2014-07-17,464.0,68817.0,242.0,706.0,0.34277620396600567,148.3125,48.176,55.027,108.151,47.7135,24.0,6.561030665896573,6.142037405587356,11.1392206176098,97.47450424929178,53.123999999999995,166.58499999999998
15/9-F-1 C,2014-07-18,459.0,68361.0,241.0,700.0,0.3442857142857143,148.9346405228758,47.449,58.937,108.148,47.69517,24.0,6.55250788703459,6.131226489483141,11.132572393676918,97.65857142857143,49.211,167.474
15/9-F-1 C,2014-07-19,458.0,68466.0,241.0,699.0,0.3447782546494993,149.4890829694323,47.396,58.307,108.147,47.68624,24.0,6.551080335043404,6.129050210060545,11.134107156345806,97.94849785407726,49.84,167.639
15/9-F-1 C,2014-07-20,311.50758251561103,48084.56735057983,148.79571810883138,460.3033006244424,0.3232558139534884,154.36082474226802,47.218,55.548,108.021,43.93395,22.42,6.1340557455879114,5.7446287329320445,10.780737355986819,104.46279069767442,52.473,168.827
15/9-F-1 C,2014-07-21,487.0,72966.0,256.0,743.0,0.3445491251682369,149.82751540041068,44.812,56.696,108.142,47.97656,24.0,6.612041034833092,6.1903154058531475,11.197762563128435,98.20457604306864,51.446,170.3
15/9-F-1 C,2014-07-22,469.0,69274.0,242.0,711.0,0.340365682137834,147.70575692963752,46.346,58.756,108.176,47.70091,24.0,6.568077911411976,6.152732694704104,11.14583936973118,97.43178621659634,49.42,168.716
15/9-F-1 C,2014-07-23,465.0,69891.0,240.0,705.0,0.3404255319148936,150.30322580645162,46.157,58.985,108.182,47.71833,24.0,6.559615237493242,6.144185634125646,11.15470647245893,99.13617021276596,49.197,169.048
15/9-F-1 C,2014-07-24,467.0,69743.0,232.0,699.0,0.3319027181688126,149.3426124197002,46.097,59.719,108.182,47.63336,24.0,6.551080335043404,6.148468295917647,11.152586674478174,99.77539341917024,48.463,169.28099999999998
15/9-F-1 C,2014-07-25,464.0,69237.0,233.0,697.0,0.33428981348637016,149.2176724137931,45.756,59.467,108.183,47.65598,24.0,6.548219102762372,6.142037405587356,11.145305123835413,99.33572453371592,48.71600000000001,169.77
15/9-F-1 C,2014-07-26,459.0,68831.0,252.0,711.0,0.35443037974683544,149.958605664488,45.501,60.039,108.183,47.60958,24.0,6.568077911411976,6.131226489483141,11.139424032067456,96.80872011251758,48.144000000000005,170.113
15/9-F-1 C,2014-07-27,461.0,68638.0,260.0,721.0,0.3606102635228849,148.88937093275487,44.887,58.891,108.183,47.59103,24.0,6.582025138892826,6.135564891081739,11.13661616529115,95.19833564493759,49.29200000000001,170.957
