actual,predicted_mean,predicted_std,CI_lower_2.5,CI_upper_97.5
208.047,208.4836033333331,0.8057462334107165,207.38,210.051975
207.549,209.4828699999998,1.6119987323506186,207.078,212.05215
202.044,205.28889666666666,3.972990380807496,197.44,213.951775
200.79399999999998,198.5922099999995,1.8098949193898841,194.47685,201.85784999999998
229.997,226.14259333333385,4.501003397905365,214.976875,231.972725
229.79699999999997,229.88882333333308,0.2335182479426849,229.679,230.44267500000004
177.69799999999998,178.88956666666672,3.051118519312037,171.105525,182.805875
164.595,164.58583666666684,0.4311818525737008,163.532,165.525
184.15699999999998,186.12908999999976,4.727648961365479,183.433,199.393
188.988,188.98492333333348,4.570858512080149,184.62,200.19500000000002
166.524,168.34387333333333,1.8255866008735082,166.69,174.833775
165.522,165.31658333333314,1.0509474755614052,164.011,165.764
221.599,221.62990333333212,0.3227662941751431,221.289,222.4443
181.775,182.51958666666678,3.9777725553994276,179.856,199.04600000000002
195.626,196.02911999999975,0.7464554366694187,195.34199999999998,197.495
178.079,177.86769333333302,3.1862172701531546,170.82369999999997,180.44797499999999
220.011,221.47061333333292,3.11173487363918,220.16245,222.912375
190.583,190.55887666666686,0.23017009968475358,190.203425,191.13600000000002
213.843,213.65935000000064,0.7613726644466955,212.733,214.819
202.14499999999998,202.37219999999937,1.088051591914037,199.62937499999998,204.531
174.77900000000002,174.62884999999977,1.4681434197084893,169.90165,176.558
170.40699999999998,170.85352333333293,1.0600093125953647,169.70499999999998,173.53199999999998
182.87599999999998,182.96504333333345,0.5328791684070826,181.28,183.44500000000002
177.029,193.1782566666663,26.30030057326577,138.694625,216.382
189.792,192.0390200000004,2.8249878889887876,189.094,198.7703
202.20499999999998,203.07297999999992,1.9324897549361923,200.32500000000002,208.122
229.589,229.69285000000002,0.40866030820230276,229.116,230.44505
201.826,202.49018666666672,4.942530870430205,195.8712,223.702
174.44,174.15932999999916,1.8634344513379955,170.512,177.50900000000001
187.068,186.63652333333366,5.050243111916048,178.226475,195.54802499999994
173.063,178.78428666666665,7.06227770419399,168.827,202.484275
173.06699999999998,172.1141466666666,2.77449018713148,163.75400000000002,175.53485
165.341,165.33570000000012,2.162863491608598,163.852,169.79094999999998
186.20100000000002,186.3559266666662,0.9060577582521394,184.152,188.947
187.745,181.82821666666635,5.006349102528598,176.362,189.41814999999994
178.27599999999998,183.3854166666665,14.047646804941722,156.56137499999997,216.29899999999998
222.75199999999998,222.54850666666684,2.7631248041463636,216.809,226.81527499999999
235.306,235.37602666666663,0.3837502564023776,235.18199999999993,236.724
197.967,197.9412533333335,0.4662036563086473,197.602,198.487
235.88899999999998,236.08017666666657,0.45314452307060943,235.48899999999998,237.665475
180.356,178.9806733333335,2.7301967487018617,171.0498,184.50837499999997
155.524,155.51113666666663,0.25629911819764095,154.925825,155.887
204.04000000000002,204.18640333333272,0.9060047869569369,202.944375,206.55599999999998
198.896,199.30559666666662,2.7741730252435413,198.04825,204.18200000000002
229.849,229.93871333333314,0.2993895196710914,229.679,230.656
217.13199999999998,212.4249933333328,13.996763286558643,178.249,238.42300000000003
