Date of Production,Wellbore name,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE,q_oil,q_gas,q_wat,q_liq,WC,GOR,GLR,ln_qliq,ln_qoil,ln_qgas,dT,choke_pct,delta_P_measured,cv_qliq,delta_P_baseline,residual,well_short
2016-04-24,15/9-F-14 H,24.0,267.768,99.621,238.532,22.066,70.7204,%,29.235,88.125,3.423,99.0,15992.0,3051.0,,production,OP,99.0,15992.0,3051.0,3150.0,0.9685714285714285,161.53535353535352,5.076825396825397,8.055157731819678,4.59511985013459,9.679843876180236,11.495999999999995,70.7204,238.53299999999996,0.06312144335217848,375.9431638268603,-137.41016382686036,F-14 H
2016-04-25,15/9-F-14 H,24.0,269.728,99.605,238.839,22.002,46.48684,%,30.889,87.771,4.984,96.0,15474.0,3037.0,,production,OP,96.0,15474.0,3037.0,3133.0,0.969358442387488,161.1875,4.939036067666773,8.049746290952191,4.564348191467836,9.6469164751094,11.834000000000003,46.48684,238.839,0.05725548495008149,375.0808627383594,-136.24186273835937,F-14 H
2016-04-26,15/9-F-14 H,24.0,270.504,99.599,238.975,22.016,43.14023,%,31.529,87.829,5.747,94.0,15010.0,2865.0,,production,OP,94.0,15010.0,2865.0,2959.0,0.9682325109834403,159.68085106382978,5.07265968232511,7.99260665240021,4.543294782270004,9.616471924627508,11.77000000000001,43.14023,238.97500000000002,0.06344455054031581,363.6899172765818,-124.71491727658179,F-14 H
2016-04-27,15/9-F-14 H,24.0,270.545,99.599,238.995,22.079,43.03706,%,31.55,88.131,5.718,92.0,14880.0,2814.0,,production,OP,92.0,14880.0,2814.0,2906.0,0.9683413626978665,161.7391304347826,5.1204404679972475,7.974532844130228,4.5217885770490405,9.607773308387083,11.468000000000004,43.03706,238.995,0.06653434400870444,360.3440584082274,-121.34905840822739,F-14 H
2016-04-28,15/9-F-14 H,24.0,270.477,99.601,239.105,22.099,43.13353,%,31.372,87.84,5.588,93.0,14693.0,2789.0,,production,OP,93.0,14693.0,2789.0,2882.0,0.9677307425399029,157.98924731182797,5.098195697432339,7.966239776559467,4.532599493153256,9.595126468875947,11.760999999999996,43.13353,239.10499999999996,0.06578424633901193,358.851964774888,-119.74696477488806,F-14 H
2016-04-29,15/9-F-14 H,24.0,270.526,99.609,239.141,22.042,43.16424,%,31.385,87.433,5.602,100.0,15864.0,2941.0,,production,OP,100.0,15864.0,2941.0,3041.0,0.9671160802367642,158.64,5.216705031239724,8.019941687677365,4.605170185988092,9.671807670199632,12.175999999999988,43.16424,239.14100000000002,0.0582296716963445,368.6878862560925,-129.54688625609248,F-14 H
2016-04-30,15/9-F-14 H,24.0,270.583,99.617,239.17,22.156,43.20491,%,31.413,88.043,5.733,100.0,15808.0,2918.0,,production,OP,100.0,15808.0,2918.0,3018.0,0.9668654738237243,158.08,5.23790589794566,8.012349639327795,4.605170185988092,9.668271419987649,11.573999999999998,43.20491,239.17000000000002,0.03468154563293908,367.16932367812876,-127.99932367812875,F-14 H
2016-05-01,15/9-F-14 H,24.0,270.691,99.621,239.301,22.02,43.14962,%,31.39,86.806,5.613,98.0,15757.0,2887.0,,production,OP,98.0,15757.0,2887.0,2985.0,0.9671691792294808,160.78571428571428,5.278726968174205,8.001355025826703,4.584967478670572,9.665039989962045,12.814999999999998,43.14962,239.301,0.02849681121583836,365.0580779555262,-125.7570779555262,F-14 H
2016-05-02,15/9-F-14 H,24.0,270.914,99.628,239.355,22.013,43.0596,%,31.558,86.238,5.535,101.0,16340.0,2895.0,,production,OP,101.0,16340.0,2895.0,2996.0,0.9662883845126836,161.78217821782178,5.453938584779706,8.005033344637111,4.61512051684126,9.701371368413994,13.39,43.0596,239.356,0.019541941218261995,365.5362843638138,-126.18028436381383,F-14 H
2016-05-03,15/9-F-14 H,24.0,271.089,99.633,239.306,22.183,42.96701,%,31.783,87.259,5.553,111.0,17787.0,2918.0,,production,OP,111.0,17787.0,2918.0,3029.0,0.9633542423241994,160.24324324324326,5.872235061076263,8.015987811027237,4.709530201312334,9.786223132375477,12.373999999999995,42.96701,239.30599999999998,0.020745887166922595,367.04693270472984,-127.74093270472986,F-14 H
